('Tyrone Nesby', '/players/n/nesbyty01.html')
('Monte Morris', '/players/m/morrimo01.html')
('Dikembe Mutombo', '/players/m/mutomdi01.html')
('Eric Murdock', '/players/m/murdoer01.html')
('Shareef Abdur-Rahim', '/players/a/abdursh01.html')
('Larry Drew', '/players/d/drewla02.html')
('Delonte West', '/players/w/westde01.html')
('Jason Caffey', '/players/c/caffeja01.html')
('Kyle Weaver', '/players/w/weaveky01.html')
('Marcin Gortat', '/players/g/gortama01.html')
('Dragan Bender', '/players/b/bendedr01.html')
('Terrence Ross', '/players/r/rosste01.html')
('Cole Aldrich', '/players/a/aldrico01.html')
('Andrea Bargnani', '/players/b/bargnan01.html')
('Marcus Vinicius', '/players/v/vincima01.html')
('Malcolm Lee', '/players/l/leema01.html')
('David Stockton', '/players/s/stockda01.html')
('Derrick Brown', '/players/b/brownde04.html')
('Dennis Horner', '/players/h/hornede01.html')
('Garrett Temple', '/players/t/templga01.html')
('Isaiah Briscoe', '/players/b/briscis01.html')
('Danny Manning', '/players/m/mannida01.html')
('Peja Stojaković', '/players/s/stojape01.html')
('Brent Price', '/players/p/pricebr01.html')
('Landry Fields', '/players/f/fieldla01.html')
('Jason Thompson', '/players/t/thompja02.html')
('D.J. Kennedy', '/players/k/kennedj01.html')
('C.J. Miles', '/players/m/milescj01.html')
('Kevin Burleson', '/players/b/burleke01.html')
('O.J. Mayo', '/players/m/mayooj01.html')
('Mirza Teletović', '/players/t/teletmi01.html')
('Raef LaFrentz', '/players/l/lafrera01.html')
('Pavel Podkolzin', '/players/p/podkopa01.html')
('Josh Howard', '/players/h/howarjo01.html')
('Troy Hudson', '/players/h/hudsotr01.html')
('Julius Randle', '/players/r/randlju01.html')
('Eddy Curry', '/players/c/curryed01.html')
('Johan Petro', '/players/p/petrojo01.html')
('Brian Roberts', '/players/r/roberbr01.html')
('Isaac Austin', '/players/a/austiis01.html')
('Mitch Richmond', '/players/r/richmmi01.html')
('Tyrus Thomas', '/players/t/thomaty01.html')
('Paul McPherson', '/players/m/mcphepa01.html')
('Grant Long', '/players/l/longgr01.html')
('Michael Hawkins', '/players/h/hawkimi01.html')
('Al Horford', '/players/h/horfoal01.html')
('Desmon Farmer', '/players/f/farmede01.html')
('Tyler Zeller', '/players/z/zellety01.html')
('Brandon Bass', '/players/b/bassbr01.html')
('Johnny Taylor', '/players/t/taylojo01.html')
('Brandon Sampson', '/players/s/sampsbr01.html')
('Sam Perkins', '/players/p/perkisa01.html')
('Travis Wear', '/players/w/weartr01.html')
('Ansu Sesay', '/players/s/sesayan01.html')
('Olden Polynice', '/players/p/polynol01.html')
('Jordan Hamilton', '/players/h/hamiljo02.html')
('Ramon Sessions', '/players/s/sessira01.html')
('Andreas Glyniadakis', '/players/g/glynian01.html')
('Justin Harper', '/players/h/harpeju01.html')
('Nick Calathes', '/players/c/calatni01.html')
('Jamison Brewer', '/players/b/breweja01.html')
